IPM,PERSONAS,P5010,REGION,DEPARTAMENTO,logro_educativo,alfabetismo,inasistencia_escolar,rezago_escolar,atencion_integral,trabajo_infantil,empleo_formal,desempleo_larga_duracion,barreras_acceso_salud,aseguramiento_salud,hacinamiento,paredes,pisos,alcantarillado,acueducto,P8526,P8530,P1075,P1077S21,P1077S22,P1077S23,POBRE
0.2,1,1,8,San Andrés,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Inod a alcantarillado,Pozo sin bomba,Sí,No,No,No,No
0.15,5,3,1,Sucre,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.5,2,3,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,Sí,Sí,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,Sí
0.3,3,2,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.27,4,2,1,Bolívar,No,No,No,Sí,No,No,Sí,No,No,No,No,Sí,No,Sí,Sí,Inod a pozo séptico,Aguatero,No,No,No,No,No
0.5,6,1,1,Bolívar,Sí,No,No,No,No,No,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sin servivio,Aguatero,No,No,No,No,Sí
0.36,1,1,1,Bolívar,Sí,No,No,No,No,No,Sí,No,No,No,No,Sí,Sí,Sí,Sí,Sin servivio,Aguatero,No,No,No,No,Sí
0.18,4,2,1,Bolívar,No,No,No,No,No,No,No,No,Sí,No,No,No,No,Sí,Sí,Inod a pozo séptico,Aguatero,No,No,No,No,No
0.51,3,2,1,Sucre,Sí,No,No,Sí,No,No,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,Sin servivio,Carrotanque,No,No,No,No,Sí
0.15,3,2,1,Sucre,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.0,4,3,1,Bolívar,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.05,4,2,1,Bolívar,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.35,4,2,1,Bolívar,Sí,Sí,No,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Inod a pozo séptico,Acu publi,No,No,No,No,Sí
0.1,1,1,1,Sucre,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.3,3,2,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.2,5,2,1,Sucre,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.38,4,3,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,Sí,Sí,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,Sí
0.1,3,2,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.2,4,2,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.0,2,2,8,San Andrés,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Agua en bolsa,Sí,No,No,No,No
0.2,2,2,8,San Andrés,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Sin conexión,Agua en bolsa,Sí,No,No,No,No
0.31,3,1,8,San Andrés,No,No,No,Sí,No,No,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Inod a pozo séptico,Agua en bolsa,No,No,No,No,No
0.1,1,1,8,San Andrés,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Agua en bolsa,Sí,No,No,No,No
0.2,4,2,8,San Andrés,No,No,No,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Agua en bolsa,Sí,No,Sí,No,No
0.05,3,2,8,San Andrés,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Agua en bolsa,Sí,No,Sí,No,No
0.27,6,2,8,San Andrés,No,No,No,Sí,No,No,Sí,No,No,No,Sí,No,No,Sí,Sí,Inod a pozo séptico,Agua en bolsa,No,No,No,No,No
0.08,1,1,8,San Andrés,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Inod a pozo séptico,Pozo sin bomba,No,No,No,No,No
0.0,2,1,8,San Andrés,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Agua en bolsa,Sí,No,No,No,No
0.0,2,1,8,San Andrés,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Agua en bolsa,No,No,No,No,No
0.23,3,1,1,Sucre,No,No,No,Sí,No,No,Sí,No,No,No,Sí,No,No,Sí,No,Inod a pozo séptico,Acu publi,Sí,No,Sí,No,No
0.1,2,1,1,Sucre,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.1,3,2,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.0,3,1,1,Bolívar,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Inod a pozo séptico,Acu comunal,No,No,No,No,No
0.19,5,2,1,Sucre,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,Sí,No,Inod a pozo séptico,Acu publi,Sí,No,No,No,No
0.15,4,2,1,Bolívar,Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.2,2,1,1,Sucre,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.25,5,2,1,Sucre,Sí,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.1,1,1,1,Sucre,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,Sí,Sí,No,No
0.2,3,2,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.04,3,1,1,Sucre,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.3,3,2,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.2,3,2,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.14,2,2,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.1,2,1,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.2,3,2,1,Bolívar,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.1,4,2,1,Sucre,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a pozo séptico,Acu publi,Sí,No,No,No,No
0.2,3,2,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a pozo séptico,Acu publi,No,No,No,No,No
0.15,5,2,1,Sucre,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.2,3,2,1,Bolívar,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.2,2,2,1,Bolívar,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a pozo séptico,Acu comunal,No,No,No,No,No
0.2,6,3,1,Bolívar,No,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,Sí,No,No
0.29,3,1,1,Bolívar,No,No,No,Sí,No,No,Sí,Sí,No,No,No,No,No,No,Sí,Inod a pozo séptico,Carrotanque,No,No,No,No,No
0.1,6,4,1,Sucre,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.25,3,2,1,Sucre,Sí,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.3,1,2,1,Bolívar,Sí,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Inod a pozo séptico,Acu comunal,No,No,No,No,No
0.1,5,4,1,Sucre,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,Sí,No,No,No
0.3,3,4,1,Bolívar,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.3,2,1,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.19,3,2,1,Bolívar,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,Sí,No,Sin servivio,Acu comunal,No,No,No,No,No
0.24,6,3,1,Bolívar,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,Inod a pozo séptico,Carrotanque,No,No,No,No,No
0.0,5,2,1,Sucre,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.24,4,1,1,Bolívar,Sí,No,No,No,No,No,Sí,No,No,No,Sí,No,No,No,No,Inod a pozo séptico,Acu comunal,No,No,No,No,No
0.15,4,2,1,Bolívar,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,Inod a pozo séptico,Acu comunal,No,No,No,No,No
0.25,5,3,1,Sucre,Sí,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.2,4,3,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.15,6,2,1,Bolívar,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Letrina,Acu comunal,No,No,No,No,No
0.2,1,1,1,Sucre,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.15,5,3,1,Sucre,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.24,3,2,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.24,4,2,1,Bolívar,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,No,Sí,Inod a pozo séptico,Carrotanque,No,No,No,Sí,No
0.1,2,2,1,Sucre,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.2,1,1,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.39,5,1,1,Sucre,Sí,Sí,No,Sí,No,No,Sí,No,No,No,Sí,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,Sí
0.3,2,1,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.34,5,3,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,Inod a pozo séptico,Acu publi,No,No,No,No,Sí
0.05,3,2,1,Sucre,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.28,2,1,1,Bolívar,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,Sí,Sin conexión,Carrotanque,No,No,No,No,No
0.29,3,2,1,Bolívar,Sí,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,Sí,Inod a pozo séptico,Carrotanque,No,No,No,No,No
0.3,3,2,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.24,2,1,1,Bolívar,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,Inod a pozo séptico,Carrotanque,No,No,No,No,No
0.2,3,2,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.1,2,1,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.14,3,2,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,Letrina,Carrotanque,No,No,No,No,No
0.0,2,1,1,Sucre,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.18,2,1,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,Sí,Letrina,Carrotanque,No,No,No,No,No
0.39,5,2,1,Sucre,Sí,No,No,Sí,No,No,Sí,No,No,Sí,No,No,Sí,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,Sí
0.34,3,3,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,Sí
0.33,5,2,1,Bolívar,Sí,No,No,Sí,No,No,Sí,No,No,No,No,No,Sí,No,Sí,Inod a pozo séptico,Carrotanque,No,No,No,No,No
0.34,2,1,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,Sí
0.2,1,1,1,Sucre,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,No,No,Sin servivio,Agua en bolsa,No,No,No,No,No
0.1,4,2,1,Sucre,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.2,3,3,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.35,2,2,1,Bolívar,Sí,No,No,Sí,No,No,Sí,Sí,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,Sí
0.44,1,1,1,Bolívar,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,No,No,Sí,Inod a pozo séptico,Carrotanque,No,No,No,No,Sí
0.23,3,1,1,Bolívar,No,No,No,No,Sí,No,Sí,No,No,No,No,No,Sí,No,Sí,Inod a pozo séptico,Carrotanque,No,No,No,No,No
0.1,1,1,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.2,5,2,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a pozo séptico,Acu publi,No,No,No,No,No
0.3,1,1,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.2,3,2,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a pozo séptico,Acu publi,No,No,No,No,No
0.0,1,1,1,Sucre,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.3,3,3,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.0,1,1,1,Bolívar,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.33,3,1,1,Sucre,Sí,No,No,Sí,No,No,Sí,No,No,No,Sí,No,Sí,No,No,Sin servivio,Acu publi,No,No,No,No,No
0.18,2,2,8,San Andrés,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,Sí,Inod a pozo séptico,Agua lluvia,No,No,No,No,No
0.15,3,2,1,Sucre,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.0,1,1,1,Bolívar,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,Sí,No,No
0.12,1,1,1,Sucre,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,Sin servivio,Acu publi,Sí,No,No,No,No
0.1,3,2,1,Sucre,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.3,4,2,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.14,3,1,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.3,2,1,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.25,2,1,1,Sucre,Sí,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Inod a pozo séptico,Acu publi,No,No,No,No,No
0.3,3,2,1,Sucre,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.1,4,2,1,Sucre,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,Sí,No,No,No
0.0,3,2,1,Sucre,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.2,1,1,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.2,5,3,1,Sucre,No,No,No,Sí,No,Sí,Sí,No,No,No,No,No,No,No,No,Inod a pozo séptico,Acu publi,No,No,No,No,No
0.19,5,2,1,Bolívar,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,Sí,No,Inod a pozo séptico,Acu publi,No,No,No,No,No
0.22,3,1,1,Sucre,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,Sí,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.25,3,2,1,Bolívar,No,No,No,Sí,No,No,Sí,Sí,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.1,1,1,1,Bolívar,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.04,3,1,1,Sucre,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,Sí,No,No
0.1,3,1,1,Sucre,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a pozo séptico,Acu publi,Sí,No,No,No,No
0.08,1,1,8,San Andrés,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Inod a pozo séptico,Pozo con bomba,No,No,No,No,No
0.2,2,2,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.2,4,2,1,Sucre,No,No,No,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,Sí,No,No
0.35,3,2,1,Sucre,Sí,Sí,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,Sí
0.35,2,1,1,Sucre,Sí,No,No,Sí,No,No,Sí,Sí,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,Sí
0.3,1,1,1,Sucre,Sí,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.1,4,2,1,Sucre,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,Sí,No,No
0.24,4,1,1,Sucre,Sí,No,No,No,No,No,Sí,No,No,No,Sí,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,No,No,No,No
0.05,5,3,1,Sucre,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Inod a alcantarillado,Acu publi,Sí,Sí,No,No,No
0.33,7,3,1,Sucre,Sí,No,No,Sí,No,No,Sí,No,No,No,No,No,Sí,Sí,No,Sin servivio,Acu publi,No,No,No,No,No
0.24,6,2,1,Córdoba,No,No,No,Sí,No,Sí,Sí,No,No,No,Sí,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
0.19,3,1,1,Sucre,No,No,No,No,Sí,No,Sí,No,No,No,Sí,No,No,No,No,Inod a alcantarillado,Acu publi,No,No,No,No,No
